name,description
Science Fiction,"Gatunek łączący naukę i fikcję, często eksplorujący przyszłość, technologię, kosmos i alternatywne rzeczywistości. Charakteryzuje się użyciem spekulatywnych elementów, takich jak zaawansowane technologie, podróże międzyplanetarne, sztuczna inteligencja i inne formy życia."
Fantasy,"Gatunek literacki, w którym magia i nadprzyrodzone elementy stanowią kluczowy aspekt fabuły, świata przedstawionego, lub obu. Często zawiera motywy takie jak smoki, wróżki, czarownicy i bohaterowie o niezwykłych mocach."
Kryminał,"Literatura skupiająca się na przestępstwach, ich śledztwach i rozwiązywaniu zagadek. Charakteryzuje się silnym naciskiem na fabułę i budowanie napięcia, często z detektywem jako głównym bohaterem."
Romans,"Gatunek literacki, w którym miłość stanowi kluczowy aspekt fabuły. Często zawiera motywy takie jak miłosne trójkąty, dramatyczne zakończenia i szczęśliwe zakończenia."
Dla dzieci,"Literatura skierowana do dzieci, zazwyczaj zawierająca proste fabuły, jasne morały i ilustracje. Często zawiera motywy takie jak przygody, przyjaźń i nauka."
Nauka,"Literatura skupiająca się na nauce, zazwyczaj zawierająca wyjaśnienia naukowe, teorie i fakty. Często zawiera motywy takie jak naukowcy, eksperymenty i odkrycia."
Przygodowe,"Gatunek literacki, w którym akcja i przygoda stanowią kluczowy aspekt fabuły. Często zawiera motywy takie jak poszukiwanie skarbów, eksploracja i walka ze złem."
Thriller,"Gatunek literacki, w którym napięcie i emocje stanowią kluczowy aspekt fabuły. Często zawiera motywy takie jak pościgi, spiski i zbrodnie."
Horror,"Gatunek literacki, w którym strach i groza stanowią kluczowy aspekt fabuły. Często zawiera motywy takie jak potwory, duchy i mroczne miejsca."
Biografia,"Literatura opisująca życie i dokonania konkretnych osób. Często zawiera motywy takie jak dzieciństwo, dorosłość i osiągnięcia."
